state_clean,county_clean,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days Ozone,Days PM2.5,Days PM10,PM25_pct,Ozone_pct,NO2_pct,PM10_pct,pm25_share,ozone_share,StateAbbr,asthma_pct,heart_disease_pct,copd_pct,diabetes_pct,stroke_pct,poor_mental_health_pct,poor_physical_health_pct,smoking_pct,fips,state_label,county_label,poverty_rate,median_income,income_k,poverty_pct,cluster,cluster_label
california,glenn,363.8,238.2,112.2,6.4,6.2,0.8,0.0,180.8,68.2,43.0,168.0,172.6,23.2,47.427968035441396,46.19472550915414,0.0,6.377306455404472,0.4744365035733919,0.4617921935129191,CA,0.1003749999999999,0.0665,0.073,0.116875,0.034625,0.1585,0.1425,0.157125,06021,California,Glenn,0.155,56741.0,56.741,15.5,2.0,High-burden
california,humboldt,364.8,318.0,43.4,2.6,0.8,0.0,0.0,117.8,52.8,31.6,231.6,93.6,35.8,25.652991544994897,63.49474987920979,0.219479980376618,9.810256990829842,0.256578947368421,0.6348684210526315,CA,0.106,0.0644999999999999,0.0733749999999999,0.1012499999999999,0.033375,0.16225,0.132,0.155,06023,California,Humboldt,0.19399999999999998,53924.0,53.924,19.4,2.0,High-burden
california,imperial,365.2,82.4,248.8,29.0,3.4,1.0,0.6,280.2,99.8,61.8,142.8,145.4,75.6,39.8137585148589,39.10038176510218,0.3834119320308406,20.702447788008083,0.3981380065717415,0.3910186199342826,CA,0.0953749999999999,0.0642499999999999,0.0588749999999999,0.14575,0.034125,0.152625,0.150625,0.141375,06025,California,Imperial,0.17300000000000001,50970.0,50.97,17.3,2.0,High-burden
california,inyo,365.2,174.2,156.8,19.0,8.0,2.8,4.4,957.6,103.4,52.6,246.0,87.6,31.6,23.980836888988694,67.36462310053147,0.0,8.654540010479826,0.2398685651697699,0.6736035049288062,CA,0.0965,0.0646249999999999,0.0653749999999999,0.103625,0.032625,0.1405,0.1215,0.135375,06027,California,Inyo,0.128,62381.0,62.381,12.8,2.0,High-burden
california,kern,365.2,57.2,183.6,100.0,22.8,1.2,0.4,304.2,138.2,81.0,205.0,144.0,16.0,39.42720263492777,56.136836589565085,0.0547945205479452,4.381166254959203,0.3943044906900328,0.5613362541073385,CA,0.09975,0.062,0.0675,0.1255,0.033625,0.16,0.147,0.157625,06029,California,Kern,0.185,57926.0,57.926,18.5,2.0,High-burden
california,kings,365.2,86.6,220.4,46.0,11.0,0.4,0.8,424.6,115.4,66.8,149.8,160.4,55.0,43.91541283030167,41.02342989744741,0.0,15.061157272250918,0.4392113910186199,0.4101861993428259,CA,0.0968749999999999,0.059375,0.06175,0.121125,0.031875,0.15625,0.136875,0.15375,06031,California,Kings,0.177,60810.0,60.81,17.7,2.0,High-burden
california,lake,357.2,348.6,6.6,0.6,1.2,0.2,0.0,160.4,43.2,32.8,339.8,15.8,1.6,4.437359788613928,95.1134715545969,0.0,0.4491686567891685,0.0442329227323628,0.9512877939529676,CA,0.1047499999999999,0.074875,0.0831249999999999,0.1185,0.0383749999999999,0.16025,0.147,0.1655,06033,California,Lake,0.165,55801.0,55.801,16.5,1.0,Mid-burden
california,los angeles,365.2,18.8,237.0,73.2,30.6,5.6,0.0,231.4,146.2,78.6,160.6,184.4,2.6,50.49434837936971,43.97305187514036,4.8205704019761955,0.712029343513736,0.5049288061336255,0.4397590361445783,CA,0.0857499999999999,0.0511249999999999,0.0497499999999999,0.1139999999999999,0.02875,0.137,0.116625,0.1124999999999999,06037,California,Los Angeles,0.141,77356.0,77.356,14.099999999999998,0.0,Low-burden
california,madera,365.2,128.6,199.8,29.4,6.6,0.8,0.0,188.8,100.4,58.8,199.8,141.4,23.8,38.713676173366274,54.71382588517105,0.0547945205479452,6.517703420914738,0.3871851040525739,0.5470974808324206,CA,0.1021249999999999,0.065125,0.0698749999999999,0.1265,0.03475,0.16025,0.1475,0.153875,06039,California,Madera,0.204,60241.0,60.241,20.4,2.0,High-burden
california,marin,364.8,257.8,100.8,2.6,3.2,0.4,0.0,171.8,60.4,39.6,123.8,233.6,0.0,64.02954395433419,33.941237497981675,2.029218547684138,0.0,0.6403508771929824,0.3393640350877193,CA,0.0881249999999999,0.0513749999999999,0.0472499999999999,0.0823749999999999,0.025125,0.1139999999999999,0.0926249999999999,0.09,06041,California,Marin,0.078,118472.0,118.472,7.8,0.0,Low-burden
